代码		简称		最新价	涨跌幅	涨跌额	5分钟涨幅	成交量(手)
300053	欧比特	14.75	3.65%	0.52	-0.20%		155613.50
601555	东吴证券	9.95	3.65%	0.35	0.20%		469644.21
002902	铭普光磁	43.00	3.64%	1.51	0.09%		91524.69
600423	*ST柳化	5.41	3.64%	0.19	0.19%		72482.04
603721	中广天择	28.45	3.64%	1.00	-0.80%		32597.32
601198	东兴证券	13.98	3.63%	0.49	0.07%		204850.44
603179	新泉股份	37.49	3.62%	1.31	0.19%		65131.00
603758	秦安股份	14.09	3.60%	0.49	-0.14%		53433.03
603183	建研院	44.47	3.56%	1.53	0.14%		58782.19
600933	爱柯迪	17.81	3.55%	0.61	0.56%		294512.15
000582	北部湾港	10.24	3.54%	0.35	0.00%		72189.82
300620	光库科技	36.01	3.54%	1.23	-0.06%		10613.19
002428	云南锗业	12.69	3.51%	0.43	-0.08%		444160.56
002363	隆基机械	8.87	3.50%	0.30	2.19%		19866.77
000403	ST生化	29.83	3.47%	1.00	-0.53%		21781.77
300650	太龙照明	38.26	3.46%	1.28	0.13%		7748.00
002522	浙江众成	9.00	3.45%	0.30	0.00%		156673.97
603969	银龙股份	14.43	3.44%	0.48	0.84%		173575.06
002061	浙江交科	14.79	3.43%	0.49	0.48%		117336.43
600569	安阳钢铁	5.13	3.43%	0.17	0.39%		1153544.84
002439	启明星辰	20.54	3.42%	0.68	0.00%		161085.87
603677	奇精机械	22.71	3.42%	0.75	0.09%		7634.20
603677	奇精机械	22.71	3.42%	0.75	0.09%		7634.20
300430	诚益通	19.12	3.41%	0.63	-0.16%		10840.70
600030	中信证券	20.94	3.41%	0.69	-0.19%		4978876.81
603970	中农立华	31.24	3.41%	1.03	0.10%		80611.31
603661	恒林股份	68.35	3.39%	2.24	0.19%		26886.34
002174	游族网络	22.68	3.37%	0.74	-0.31%		102080.62
300681	英搏尔	50.33	3.37%	1.64	0.08%		8669.00
300022	吉峰农机	5.54	3.36%	0.18	-0.18%		117194.19
300643	万通智控	13.24	3.36%	0.43	0.30%		30241.86
603767	中马传动	15.39	3.36%	0.50	0.26%		35019.91
002299	圣农发展	15.15	3.34%	0.49	0.07%		97330.52
300375	鹏翎股份	16.47	3.32%	0.53	0.18%		73713.32
600785	新华百货	21.79	3.32%	0.70	0.18%		6895.00
002371	北方华创	34.00	3.31%	1.09	-0.53%		144488.53
002885	京泉华	35.88	3.31%	1.15	0.08%		16310.00
603789	星光农机	13.41	3.31%	0.43	-0.07%		30743.67
300029	天龙光电	7.51	3.30%	0.24	-0.27%		19848.01
300514	友讯达	27.20	3.30%	0.87	-0.18%		14372.52
600283	钱江水利	13.15	3.30%	0.42	0.31%		93177.33
002791	坚朗五金	19.46	3.29%	0.62	0.10%		24027.38
600109	国金证券	9.72	3.29%	0.31	0.00%		528965.89
000541	佛山照明	9.47	3.27%	0.30	0.00%		197666.24
002775	文科园林	19.88	3.27%	0.63	-0.15%		42848.21
300462	华铭智能	24.31	3.27%	0.77	0.00%		33276.95
601800	中国交建	13.60	3.26%	0.43	0.07%		285765.61
603817	海峡环保	13.00	3.26%	0.41	-0.08%		63209.85
600623	华谊集团	8.57	3.25%	0.27	0.12%		79106.40
600908	无锡银行	8.26	3.25%	0.26	0.12%		375496.06
300083	劲胜智能	7.03	3.23%	0.22	-0.14%		215081.64
603466	风语筑	55.96	3.23%	1.75	0.07%		61020.23
001979	招商蛇口	24.70	3.22%	0.77	0.04%		1252809.88
